Table 1
Mã hàng,Tên mặt hàng,Nhóm mặt hàng,Đơn vị tính,Giá bán,Giá nhập,Mặc định giảm giá,Mặc định giảm tiền,Giá sỉ 1 CÁI,Mã sẵn có,Ghi chú,Giá sỉ CHẴN,Giá có hoá đơn đỏ,Không in chế biến,Đơn vị tính chẵn,Quy đổi,Giá bán chẵn
5172208470092,CONAN T92,CONAN,Quyển,"18,000.00",0.00,0.00,0.00,0.00,9786042088213,,0.00,0.00,FALSE,,0.00,0.00
6171400290004,TTDGVN Cất nhà giữa hồ,TRANH TRUYEN DAN GIAN VN,Quyển,"15,000.00",0.00,0.00,0.00,"13,200.00",6171400290004,,0.00,0.00,FALSE,,0.00,0.00
6171400290031,TTDGVN sinh con rồi mới sinh cha,TRANH TRUYEN DAN GIAN VN,Quyển,"15,000.00",0.00,0.00,0.00,"13,200.00",6171400290031,,0.00,0.00,FALSE,,0.00,0.00
6172209220004,POKÉMON TM Đặc biệt T52,TRUYỆN,Quyển,"22,000.00",0.00,0.00,0.00,0.00,8935244801170,,0.00,0.00,FALSE,,0.00,0.00
6172209220020,POKÉMON TM Đặc biệt T20,TRUYỆN,Quyển,"22,000.00",0.00,0.00,0.00,0.00,6172209220020,,0.00,0.00,FALSE,,0.00,0.00
7111503710063,TCNN Gái ngoan dạy chồng,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",8935036648235,,0.00,0.00,FALSE,,0.00,0.00
7131503630093,CẬU BÉ RỒNG T93,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7131503630093,,0.00,0.00,FALSE,,0.00,0.00
7171503710008,TCNN  Của Thiên trả địa,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",9786042084864,,0.00,0.00,FALSE,,0.00,0.00
8934974109686,NHÓC MIKO! T1,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085794,,0.00,0.00,FALSE,,0.00,0.00
8934974109822,NHÓC MIKO! T2,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085800,,0.00,0.00,FALSE,,0.00,0.00
